# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Dec  9 11:40:00 IST 2023
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 42.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 45.0% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,58.1,266) frames.
Overall, IY_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,31.9,72) frames.
Overall, N_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,15) frames.
Overall, TH_B accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.0,31) frames.
Overall, EY_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (25,32.9,48) frames.
Overall, K_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,43.3,194) frames.
Overall, EY_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (21,36.5,130) frames.
Overall, S_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,53.2,178) frames.
Overall, TH_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.1,31) frames.
Overall, CH_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.0,27) frames.
Overall, P_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (20,86.7,266) frames.
Overall, SH_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (28,60.8,252) frames.
Overall, UW_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,15.2,39) frames.
Overall, Y_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,17.4,53) frames.
Overall, AH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.5,39) frames.
Overall, T_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,12.3,40) frames.
Overall, R_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,31.5,45) frames.
The optional-silence phone sil occupies 26.9% of frames overall 
Limiting the stats to the 72.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 19.7% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 10.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (35,46.5,129)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Dec  9 11:40:00 IST 2023, elapsed time 0 seconds
